Gender,Employment,First Generation Indicator,New to Ames,Classification,Favorite Restaurant,Favorite Food Type,# Caffeinated Drinks,Height (inches),Shoe size,Length of Relationship,Technology effects,Age for Electronics,Football,Enthusiasm
male,Full-time student,No,No,Sophomore,Hickory Park,American cuisine,0,72,11,3,Yes,15,Yes,True
female,Full-time student,No,Yes,Sophomore,Wallabys,Asian cuisine,3,63,7,6,No,12,Yes,True
male,Full-time student,No,No,Sophomore,Jeff's pizza is my favorite place.,I like all types of food;I do not have a preference.,0,73,12,0,Yes,12,Yes,True
male,Full-time student,No,No,Sophomore,Great Plains Sauce and Dough Co.,I like all types of food;I do not have a preference.,0,66,9,8,No,13,Yes,True
male,Full-time student,Yes,No,Sophomore,Los Altos Mexican Restaurant,Mexican cuisine,1,75,11,3,Yes,16,Yes,True
female,Full-time student,Yes,No,Junior,Taste Place,I like all types of food;I do not have a preference.,1,60,4,10,Yes,13,No,True
female,Full-time student,No,Yes,Sophomore,Fuji Japanese Steakhouse,American cuisine,0,61.5,7,9,No,11,Yes,True
female,Full-time student,No,No,Sophomore,Hickory Park,Mexican cuisine,2,72,8.5,42,No,14,Yes,True
male,Full-time student,No,No,Junior,Hickory Park,European cuisine,0,73,11.5,0,No,13,Yes,False
male,Full-time student,No,No,Junior,My favorite restaurant in Ames is Abelardos.,American cuisine,0,72,11,16,No,15,Yes,True
male,Full-time student,Yes,No,Sophomore,Taste Place,Asian cuisine,4,74,11.5,22,No,12,No,True
male,Full-time student,No,No,Sophomore,Texas Roadhouse,American cuisine,0,72,12,27,Yes,16,Yes,True
male,Full-time student,No,No,Junior,Hickory Park,Mexican cuisine,0.5,74,13,4,No,9,Yes,True
female,Full-time student,No,No,Sophomore,Great Plains Sauce and Dough Company,American cuisine,0,65,7.5,36,No,13,No,True
male,Full-time student,No,No,Junior,Brick City Grill,I like all types of food;I do not have a preference.,3,74,12,3,Yes,13,Yes,True
male,Full-time student,Yes,Yes,Sophomore,Jethro's,I like all types of food;I do not have a preference.,1,74,13,12,Yes,13,Yes,True
female,Full-time student,No,No,Sophomore,Hickory Park,American cuisine,0,65,8,30,Yes,16,Yes,True
female,Full-time student,No,Yes,Freshman,Blaze Pizza,Asian cuisine,1,64,8,24,Yes,16,No,True
male,Full-time student,No,No,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,0,76,13,0,No,13,Yes,True
male,Full-time student,Yes,No,Junior,Jeff's Pizza,Asian cuisine,0,66,8.5,12,Yes,13,Yes,False
male,Full-time student,No,No,Junior,Wendy's,American cuisine,0,72,9.5,2,Yes,12,Yes,True
female,Full-time student,No,No,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,0,66,8.5,8,No,13,Yes,True
female,Part-time and/or working student,No,No,Junior,Perkins,American cuisine,1,62,7.5,30,No,15,No,True
male,Full-time student,Yes,No,Sophomore,Mr. Burrito,Mexican cuisine,0,68,10.5,3,No,10,Yes,True
male,Full-time student,No,No,Sophomore,Fuzzy's,European cuisine,0,70,12,3,No,15,No,True
female,Full-time student,No,Yes,Junior,My favorite restaurant in Ames is Texas Roadhouse,Mexican cuisine,1,67,8,0,No,14,Yes,True
male,Full-time student,No,Yes,Sophomore,Jeff's Pizza,I like all types of food;I do not have a preference.,1,72,11,13,Yes,10,Yes,True
male,Part-time and/or working student,No,No,Sophomore,Le's Restaurant,Asian cuisine,1,72,10,51,No,16,Yes,True
male,Full-time student,No,No,Sophomore,Taco Bell,I like all types of food;I do not have a preference.,2,73,11.5,3,Yes,16,Yes,False
male,Full-time student,No,No,Sophomore,Texas streak House,Asian cuisine,1,81,9,13,No,13,Yes,True
male,Full-time student,No,No,Sophomore,Ge-Angelo's,Mexican cuisine,4,72 inches,12,38 months,No,14,No,True
male,Full-time student,No,No,Senior,Old Chicago,Mexican cuisine,22,69,13,2,No,13,Yes,True
male,Full-time student,No,No,Sophomore,Thai Kitchen,Asian cuisine,1,67,9,33,Yes,12,Yes,True
male,Full-time student,Yes,No,Senior,Jeff's Pizza,European cuisine,0,63 inches tall,9.5,1.5,Yes,15,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,0,72,11.5,24,Yes,13,Yes,True
male,Full-time student,Yes,No,Junior,El Azteca,Mexican cuisine,0,68,10,6,Yes,8,Yes,True
female,Full-time student,No,No,Junior,Pancheros Mexican Grill!,I like all types of food;I do not have a preference.,0,69,9,8,Yes,16,Yes,True
male,Full-time student,No,No,Sophomore,,European cuisine,0,68,,,,,,
female,Full-time student,No,No,Sophomore,Stomping Grounds,European cuisine,1,66,8,36,No,12,Yes,True
male,Full-time student,No,Yes,Junior,Blaze Pizza,I like all types of food;I do not have a preference.,1,77,15,25,Yes,13,Yes,True
female,Full-time student,No,No,Junior,El Azteca,I like all types of food;I do not have a preference.,0,70,9,14,No,12,Yes,False
female,Full-time student,No,No,Sophomore,The Cafe.,I like all types of food;I do not have a preference.,0,64,6.5,39,Yes,11,Yes,True
male,Full-time student,No,No,Sophomore,My favorite restaurant in Ames is El Azteca.,Mexican cuisine,1,73,11,1,Yes,13,Yes,True
female,Full-time student,No,No,Sophomore,Potbelly,American cuisine,1,66,7.5,12,No,12,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,Ethnic cuisines,1,72,11,2,No,13,Yes,True
male,Full-time student,Yes,No,Junior,Fuzzy's Taco Shop,I like all types of food;I do not have a preference.,2,71,11.5,6,Yes,14,Yes,True
male,Full-time student,No,No,Freshman,Perkins,I like all types of food;I do not have a preference.,0,64,9,0,No,7,Yes,True
male,Full-time student,No,No,Senior,Jeff's Pizza,Mexican cuisine,1,69,10,13,No,14,Yes,True
male,Full-time student,Yes,No,Junior,Sports Page,Mexican cuisine,1,72,12,0,Yes,14,Yes,False
male,Full-time student,No,Yes,Junior,none this town sucks for resteraunts,Ethnic cuisines,4,69,12,1,No,1,Yes,True
male,Full-time student,No,No,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,0,69,10,12,Yes,12,Yes,True
female,Full-time student,No,Yes,Junior,Hickory Park,I like all types of food;I do not have a preference.,0,64,6.5,16,No,14,Yes,True
male,Full-time student,Yes,No,Sophomore,My favorite resturant is Hickory Park.,I like all types of food;I do not have a preference.,1,70,9.5,20,Yes,12,Yes,True
female,Full-time student,No,Yes,Junior,Fuji Hibachi Grill,I like all types of food;I do not have a preference.,1,68,9,25,Yes,12,Yes,True
female,Full-time student,No,No,Sophomore,Wallaby's,I like all types of food;I do not have a preference.,1,63,6,6,No,11,Yes,True
male,Full-time student,No,Yes,Sophomore,Hickory Park,I like all types of food;I do not have a preference.,0,69,10,25,No,12,No,True
male,Full-time student,No,No,Sophomore,es tas,Ethnic cuisines,0.2,72,10,2,No,12,No,True
